customer_id,first_name,last_name,email,city,country,phone,reg_date,acquisition_channel
1,Danielle,Johnson,Danielle.Johnson655@yahoo.com,East Donald,Bosnia and Herzegovina,Unknown,2024-05-16,paid_search
2,Erica,Mcclain,Erica.Mcclain755@gmail.com,Johnsonland,Cuba,Unknown,2023-06-28,email
3,Jesse,Guzman,Jesse.Guzman33@hotmail.com,Lake Debra,Mayotte,Unknown,2025-10-31,organic_search
4,Robert,Cole,Robert.Cole575@yahoo.com,West Melanieview,Sri Lanka,3268542351,2025-05-09,email
5,Bradley,Stevens,Bradley.Stevens604@gmail.com,Ramirezstad,Central African Republic,(518)349-5931x0341,2023-11-23,email
6,Mitchell,Clark,Mitchell.Clark349@yahoo.com,Port Antonio,Germany,001-719-228-3276x483,2024-11-20,organic_search
7,Richard,Jones,Richard.Jones390@hotmail.com,Jasonfort,Indonesia,Unknown,2024-06-25,direct
8,Nicole,Day,Nicole.Day471@gmail.com,Port Brandonville,Cape Verde,423-988-4969x653,2025-02-14,referral
9,Courtney,Conner,Courtney.Conner301@yahoo.com,West Ryanmouth,Afghanistan,+1-616-769-7848x018,2025-01-10,paid_search
10,Stephanie,Liu,Stephanie.Liu722@yahoo.com,New Rita,Trinidad and Tobago,Unknown,2024-08-15,paid_search
11,Colleen,Skinner,Colleen.Skinner888@hotmail.com,East Nathaniel,Central African Republic,Unknown,2025-01-17,social_media
12,Amber,Osborne,Amber.Osborne364@hotmail.com,North Jessicaland,Senegal,2955701543,2023-05-27,direct
13,Amanda,Martinez,Amanda.Martinez176@hotmail.com,East Jeffreymouth,Angola,982.948.9638x3465,2025-04-08,social_media
14,Brianna,Hall,Brianna.Hall948@gmail.com,Lewisberg,Saint Kitts and Nevis,5106310518,2024-10-26,paid_search
15,Selena,Duncan,Selena.Duncan842@yahoo.com,Port Thomas,Ireland,Unknown,2024-07-02,paid_search
16,James,Davis,James.Davis936@yahoo.com,South Isaiah,Kyrgyz Republic,(566)970-1065x133,2024-10-06,direct
17,John,Leblanc,John.Leblanc512@yahoo.com,Port Richard,Bahamas,+1-910-980-1326,2025-07-28,social_media
18,Franklin,Smith,Franklin.Smith143@yahoo.com,North Breannahaven,Uruguay,274-768-7234x309,2024-06-22,referral
19,Melissa,Moore,Melissa.Moore439@hotmail.com,South Dianeshire,Mali,521-291-3619,2024-03-25,referral
20,Leslie,Green,Leslie.Green506@hotmail.com,Johnfurt,Bulgaria,Unknown,2023-08-13,direct
21,Emily,Evans,Emily.Evans164@yahoo.com,Justinmouth,Syrian Arab Republic,001-310-579-9118x38425,2023-11-05,email
22,Amy,Turner,Amy.Turner611@hotmail.com,Lake Cynthia,Estonia,508.741.2411x82449,2023-01-24,direct
23,William,King,William.King118@gmail.com,North Charlesberg,Mayotte,964-800-5242,2024-06-30,social_media
24,Barry,Wood,Barry.Wood115@hotmail.com,Kimberlychester,Niger,(562)304-5053,2023-01-07,direct
25,Kara,Frost,Kara.Frost270@gmail.com,Brennanfort,Cyprus,(426)302-5634,2025-11-05,direct
26,James,Sellers,James.Sellers306@yahoo.com,West Gregoryview,Argentina,733-203-6541x4586,2024-02-12,social_media
27,Daniel,Hamilton,Daniel.Hamilton781@hotmail.com,Jonesmouth,Nigeria,569-781-6934x06088,2025-12-22,referral
28,Lee,Charles,Lee.Charles332@hotmail.com,West Justinchester,Solomon Islands,684-865-6482x3662,2025-01-13,paid_search
29,Bethany,Pena,Bethany.Pena60@yahoo.com,Port James,Anguilla,573.687.2148x951,2023-06-11,direct
30,Brandon,Riggs,Brandon.Riggs498@hotmail.com,Williamsbury,United States Virgin Islands,001-517-469-3676x32016,2025-12-26,paid_search
31,Melinda,Bryant,Melinda.Bryant676@yahoo.com,Katiehaven,Libyan Arab Jamahiriya,+1-688-595-7986x87277,2024-06-26,referral
