customer_id,first_name,last_name,email,phone,city,country,registration_date,acquisition_channel
1,Danielle,Johnson,danielle.johnson760@yahoo.com,232.318.1960,East William,USA,2023-06-28 21:29:57,organic_search
2,Anthony,Gonzalez,anthony.gonzalez224@hotmail.com,001-486-537-9402x654,Curtisfurt,USA,2025-05-09 08:01:33,referral
3,Colin,Abbott,colin.abbott778@hotmail.com,507-381-6184x959,Lake Jeremyport,United Kingdom,2024-11-20 00:00:00,email
4,Tracie,Wyatt,tracie.wyatt868@gmail.com,(547)452-5534x1928,Grayside,USA,2025-02-14 00:00:00,social_media
5,Jeffrey,Nguyen,jeffrey.nguyen592@gmail.com,505.964.1395,Wilkersonmouth,France,2024-04-21 03:40:38,social_media
6,Douglas,Taylor,douglas.taylor855@hotmail.com,+1-484-996-9653,Port Brandonville,Germany,2023-05-27 00:00:00,referral
7,Eric,Moore,eric.moore474@hotmail.com,(791)366-9784x80184,Ryanmouth,Canada,2023-04-25 00:00:00,social_media
8,Aaron,Bowen,aaron.bowen68@hotmail.com,282-781-4893x252,Smithstad,Germany,2025-03-21 23:24:19,paid_search
9,Natasha,Decker,natasha.decker253@yahoo.com,403.491.1718,Arroyoburgh,United Kingdom,2025-11-01 00:00:00,referral
10,Joseph,Brennan,joseph.brennan774@yahoo.com,383.546.5787,North Matthew,Germany,2023-05-11 14:00:32,referral
11,Brianna,Hall,,5106310518,Lewisberg,Germany,2024-06-30 00:00:00,organic_search
12,Jennifer,Khan,jennifer.khan162@hotmail.com,337.263.1165x6670,Chandlerville,United Kingdom,2024-01-01 00:00:00,direct
13,John,Lee,john.lee157@yahoo.com,(362)247-3178,North Sarabury,United Kingdom,2024-10-25 00:00:00,organic_search
14,Gabriel,Tucker,gabriel.tucker246@gmail.com,Unknown,Barreraburgh,United Kingdom,2023-05-22 00:00:00,paid_search
15,Nicholas,Galloway,nicholas.galloway170@yahoo.com,246.787.2343x098,North Breannahaven,Germany,2024-02-16 11:20:57,direct
16,Samantha,Schmidt,samantha.schmidt922@gmail.com,312.819.1361x93990,Sarahborough,United Kingdom,2024-04-16 00:00:00,organic_search
17,Elizabeth,Edwards,elizabeth.edwards235@yahoo.com,(524)675-1079x9118,West Nicole,USA,2025-09-21 00:00:00,paid_search
18,Natasha,Wood,natasha.wood485@gmail.com,Unknown,Bassport,France,2024-12-26 15:25:19,email
19,Cheryl,Archer,cheryl.archer63@hotmail.com,508.741.2411x82449,Lake Cynthia,USA,2025-07-07 05:06:13,paid_search
20,Joseph,Freeman,joseph.freeman256@gmail.com,964-800-5242,North Charlesberg,United Kingdom,2023-01-31 00:00:00,paid_search
21,Amy,Davenport,amy.davenport493@hotmail.com,+1-526-520-4505,West Kimberlychester,Germany,2024-06-27 00:00:00,email
22,Terri,Brady,terri.brady736@gmail.com,Unknown,Port Lisa,France,2023-05-05 00:00:00,organic_search
23,Nicole,Johnson,nicole.johnson515@hotmail.com,563-542-1607x33754,Lake Jamesmouth,France,2023-05-21 00:00:00,direct
24,Joshua,Jones,joshua.jones123@yahoo.com,Unknown,Darlenefurt,Canada,2025-12-06 00:00:00,paid_search
25,Erin,Anthony,erin.anthony272@yahoo.com,8147294019,Samuelhaven,United Kingdom,2023-05-29 00:20:20,referral
26,Darrell,Lam,darrell.lam76@gmail.com,706-308-8356x159,Williamchester,France,2024-05-15 00:00:00,paid_search
27,Mark,Terry,mark.terry721@hotmail.com,(236)662-9946,Jasonshire,Germany,2024-05-09 00:00:00,social_media
28,Catherine,Morris,catherine.morris761@yahoo.com,638.572.1489x513,East Andrew,USA,2024-06-24 18:24:04,social_media
29,John,Alvarez,,569.436.7632x016,Williamsbury,USA,2024-06-20 05:52:58,referral
30,Samantha,Martinez,samantha.martinez10@gmail.com,988.995.7986x872,Unknown,Germany,2025-01-26 00:00:00,paid_search
31,Jonathon,Wright,jonathon.wright43@hotmail.com,387-434-7143x455,East Patrick,Germany,2024-03-06 00:00:00,social_media
32,Eric,Lewis,eric.lewis998@yahoo.com,(258)776-0366x90967,Karenchester,France,2023-12-29 00:00:00,paid_search
33,Amanda,Navarro,amanda.navarro822@hotmail.com,873.446.7065,Calhounside,United Kingdom,2025-02-22 01:24:35,paid_search
