customer_id,first_name,last_name,email,phone,city,country,registration_date,acquisition_channel
1,Danielle,Johnson,Danielle.Johnson760@yahoo.com,232.318.1960,East William,USA,2023-06-28T21:29:57,organic_search
2,Anthony,Gonzalez,Anthony.Gonzalez224@hotmail.com,001-486-537-9402x654,Curtisfurt,USA,2025-05-09T08:01:33,referral
3,Colin,Abbott,Colin.Abbott778@hotmail.com,507-381-6184x959,Lake Jeremyport,United Kingdom,2024-11-20,email
4,Tracie,Wyatt,Tracie.Wyatt868@gmail.com,(547)452-5534x1928,Grayside,US,14.02.2025,social_media
5,Jeffrey,Nguyen,Jeffrey.Nguyen592@gmail.com,505.964.1395,Wilkersonmouth,FR,2024-04-21T03:40:38,social_media
6,Douglas,Taylor,Douglas.Taylor855@hotmail.com,+1-484-996-9653,Port Brandonville,germany,27/05/2023,referral
7,Eric,Moore,Eric.Moore474@hotmail.com,(791)366-9784x80184,Ryanmouth,Canada,2023-04-25,social_media
8,Aaron,Bowen,Aaron.Bowen68@hotmail.com,282-781-4893x252,Smithstad,DE,2025-03-21T23:24:19,paid_search
9,Natasha,Decker,Natasha.Decker253@yahoo.com,403.491.1718,Arroyoburgh,UK,11/01/2025,referral
10,Joseph,Brennan,Joseph.Brennan774@yahoo.com,383.546.5787,North Matthew,Germany,2023-05-11T14:00:32,referral
11,Brianna,Hall,Brianna.Hall,5106310518,Lewisberg,germany,06-30-2024,organic_search
12,Jennifer,Khan,Jennifer.Khan162@hotmail.com,337.263.1165x6670,Chandlerville,uk,2024-01-01,direct
13,John,Lee,John.Lee157@yahoo.com,(362)247-3178,North Sarabury,UK,2024-10-25,organic_search
14,Gabriel,Tucker,Gabriel.Tucker246@gmail.com,,Barreraburgh,U.K.,22/05/2023,paid_search
15,Nicholas,Galloway,Nicholas.Galloway170@yahoo.com,246.787.2343x098,North Breannahaven,germany,2024-02-16T11:20:57,direct
16,Samantha,Schmidt,Samantha.Schmidt922@gmail.com,312.819.1361x93990,Sarahborough,uk,16/04/2024,organic_search
17,Elizabeth,Edwards,Elizabeth.Edwards235@yahoo.com,(524)675-1079x9118,West Nicole,USA,21.09.2025,paid_search
18,Natasha,Wood,Natasha.Wood485@gmail.com,,Bassport,france,2024-12-26T15:25:19,email
19,Cheryl,Archer,Cheryl.Archer63@hotmail.com,508.741.2411x82449,Lake Cynthia,USA,2025-07-07T05:06:13,paid_search
20,Joseph,Freeman,Joseph.Freeman256@gmail.com,964-800-5242,North Charlesberg,uk,31/01/2023,paid_search
21,Amy,Davenport,Amy.Davenport493@hotmail.com,+1-526-520-4505,West Kimberlychester,DE,06-27-2024,email
22,Terri,Brady,Terri.Brady736@gmail.com,,Port Lisa,france,2023-05-05,organic_search
23,Nicole,Johnson,Nicole.Johnson515@hotmail.com,563-542-1607x33754,Lake Jamesmouth,FR,2023-05-21,direct
24,Joshua,Jones,Joshua.Jones123@yahoo.com,,Darlenefurt,CA,12-06-2025,paid_search
25,Erin,Anthony,Erin.Anthony272@yahoo.com,8147294019,Samuelhaven,UK,2023-05-29T00:20:20,referral
26,Darrell,Lam,Darrell.Lam76@gmail.com,706-308-8356x159,Williamchester,France,05-15-2024,paid_search
27,Mark,Terry,Mark.Terry721@hotmail.com,(236)662-9946,Jasonshire,germany,05/09/2024,social_media
28,Catherine,Morris,Catherine.Morris761@yahoo.com,638.572.1489x513,East Andrew,USA,2024-06-24T18:24:04,social_media
29,John,Alvarez,John.Alvarez,569.436.7632x016,Williamsbury,USA,2024-06-20T05:52:58,referral
30,Samantha,Martinez,Samantha.Martinez10@gmail.com,988.995.7986x872,,germany,26.01.2025,paid_search
31,Jonathon,Wright,Jonathon.Wright43@hotmail.com,387-434-7143x455,East Patrick,Germany,2024-03-06,social_media
32,Eric,Lewis,Eric.Lewis998@yahoo.com,(258)776-0366x90967,Karenchester,FR,2023-12-29,paid_search
33,Amanda,Navarro,Amanda.Navarro822@hotmail.com,873.446.7065,Calhounside,uk,2025-02-22T01:24:35,paid_search
34,Anthony,Long,Anthony.Long359@hotmail.com,,North Dawnberg,CA,2024-11-03,social_media
35,Michelle,White,Michelle.White696@yahoo.com,,Murphymouth,uk,01-01-2024,organic_search
36,Mark,Juarez,Mark.Juarez445@yahoo.com,264-517-0805x310,Port Andrew, USA ,2024-01-25,direct
37,Elijah,Martinez,Elijah.Martinez533@hotmail.com,393-474-5299,Danieltown,Germany,2025-01-15,direct
38,Sarah,Johnston,Sarah.Johnston680@yahoo.com,(831)793-1491x9058,New Deborahtown,U.K.,04.04.2025,paid_search
39,Melissa,Short,Melissa.Short681@gmail.com,(657)726-2849x87769,Port Sarah,CA,01-01-2023,paid_search
40,Joshua,Hayes,Joshua.Hayes622@yahoo.com,001-596-750-7527,Matthewview,germany,2023-12-14,social_media
41,Angela,Black,Angela.Black649@gmail.com,236-378-3777,Jeffreybury,france,2024-02-12,organic_search
42,Kevin,Perkins,Kevin.Perkins626@yahoo.com,+1-685-668-5574,North Jennifer,CA,2025-02-25T17:59:59,paid_search
